Time[ms], Volt[V],AVE角速度,角加速度,,MAX角加速度
2025,4.218,-8.966,-4.9,,
2030,4.236,-8.9905,-12,,
2035,4.254,-9.0505,1.65,,
2040,4.272,-9.04225,-14.8,,
2045,4.29,-9.11625,-1.8,,
2050,4.308,-9.12525,1.85,,
2055,4.326,-9.116,-18.15,,
2060,4.344,-9.20675,-6.45,,
2065,4.362,-9.239,-1,,
2070,4.38,-9.244,-15.05,,
2075,4.399,-9.31925,-5.05,,
2080,4.417,-9.3445,-2.15,,
2085,4.435,-9.35525,-13.55,,
2090,4.453,-9.423,1.5,,
2095,4.471,-9.4155,-7.7,,
2100,4.49,-9.454,-8.4,,
2105,4.508,-9.496,-16.95,,
2110,4.526,-9.58075,7.2,,
2115,4.544,-9.54475,-23.05,,
2120,4.563,-9.66,-1.05,,
2125,4.581,-9.66525,-13.7,,
2130,4.599,-9.73375,-7.6,,
2135,4.618,-9.77175,-5,,
2140,4.636,-9.79675,-8.1,,
2145,4.654,-9.83725,-5.3,,
2150,4.673,-9.86375,-8.55,,
2155,4.691,-9.9065,-9.15,,
2160,4.71,-9.95225,-9.5,,
2165,4.728,-9.99975,-5.5,,
2170,4.746,-10.02725,-13.2,,
2175,4.765,-10.09325,-8.55,,
2180,4.783,-10.136,-8.05,,
2185,4.802,-10.17625,-8.6,,
2190,4.82,-10.21925,-12.8,,
2195,4.839,-10.28325,-6,,
2200,4.857,-10.31325,-6.1,,
2205,4.876,-10.34375,-12.7,,
2210,4.894,-10.40725,-6.15,,
2215,4.913,-10.438,-22.75,,
2220,4.931,-10.55175,8.25,,
2225,4.95,-10.5105,-19.6,,
2230,4.968,-10.6085,0.9,,
2235,4.987,-10.604,-16.95,,
2240,5.006,-10.68875,-2.55,,
2245,5.024,-10.7015,-12.85,,
2250,5.043,-10.76575,-0.55,,
2255,5.061,-10.7685,-6.9,,
2260,5.08,-10.803,-11.55,,
2265,5.099,-10.86075,0.6,,
2270,5.117,-10.85775,-2.65,,
2275,5.136,-10.871,-5.7,,
2280,5.155,-10.8995,-3.85,,
2285,5.173,-10.91875,4.9,,
2290,5.192,-10.89425,-12.5,,
2295,5.211,-10.95675,7.65,,
2300,5.229,-10.9185,-7.25,,
2305,5.248,-10.95475,-6.4,,
2310,5.267,-10.98675,7.7,,
2315,5.285,-10.94825,-4.75,,
2320,5.304,-10.972,0.3,,
2325,5.323,-10.9705,1.4,,
2330,5.342,-10.9635,-0.4,,
2335,5.36,-10.9655,1.8,,
2340,5.379,-10.9565,3.2,,
2345,5.398,-10.9405,-4.3,,
2350,5.417,-10.962,3,,
2355,5.435,-10.947,-5.1,,
2360,5.454,-10.9725,-10.9,,
2365,5.473,-11.027,10.8,,
2370,5.492,-10.973,-5.45,,
2375,5.51,-11.00025,-4.75,,
2380,5.529,-11.024,-6.7,,
2385,5.548,-11.0575,-3.75,,
2390,5.567,-11.07625,-0.1,,
2395,5.586,-11.07675,-7.6,,
2400,5.604,-11.11475,-2.15,,
2405,5.623,-11.1255,3.05,,
2410,5.642,-11.11025,-13.15,,
2415,5.661,-11.176,-3.15,,
2420,5.68,-11.19175,-7.9,,
2425,5.699,-11.23125,-3.45,,
2430,5.717,-11.2485,0.35,,
2435,5.736,-11.24675,-10.6,,
2440,5.755,-11.29975,-7.25,,
2445,5.774,-11.336,-9,,
2450,5.793,-11.381,-3.2,,
2455,5.812,-11.397,-11.05,,
2460,5.83,-11.45225,-8.5,,
2465,5.849,-11.49475,-12.1,,
2470,5.868,-11.55525,-7.55,,
2475,5.887,-11.593,0.3,,
2480,5.906,-11.5915,-15.45,,
2485,5.925,-11.66875,-12.15,,
2490,5.943,-11.7295,-7.85,,
2495,5.962,-11.76875,-4.25,,
2500,5.981,-11.79,-13.7,,
2505,6,-11.8585,-16.35,,
2510,6.019,-11.94025,-13.3,,
2515,6.038,-12.00675,-6,,
2520,6.057,-12.03675,-6.1,,
2525,6.075,-12.06725,-8.9,,
2530,6.094,-12.11175,-9.7,,
2535,6.113,-12.16025,-13.55,,
2540,6.132,-12.228,-2.2,,
2545,6.151,-12.239,-7,,
2550,6.17,-12.274,-13.6,,
2555,6.189,-12.342,3.35,,
2560,6.207,-12.32525,-5.7,,
2565,6.226,-12.35375,-4.4,,
2570,6.245,-12.37575,-8.7,,
2575,6.264,-12.41925,1.1,,
2580,6.283,-12.41375,2.2,,
2585,6.302,-12.40275,-8.15,,
2590,6.32,-12.4435,-0.25,,
2595,6.339,-12.44475,-1.95,,
2600,6.358,-12.4545,-3.55,,
2605,6.377,-12.47225,5.2,,
2610,6.396,-12.44625,-6.45,,
2615,6.414,-12.4785,-6.45,,
2620,6.433,-12.51075,-4.35,,
2625,6.452,-12.5325,-2.05,,
2630,6.471,-12.54275,-8.9,,
2635,6.49,-12.58725,-1.95,,
2640,6.508,-12.597,-9.15,,
2645,6.527,-12.64275,-1.75,,
2650,6.546,-12.6515,-11.75,,
2655,6.565,-12.71025,-11.1,,
2660,6.583,-12.76575,0.6,,
2665,6.602,-12.76275,-19.2,,
2670,6.621,-12.85875,-6.15,,
2675,6.64,-12.8895,-1.55,,
2680,6.658,-12.89725,-18.7,,
2685,6.677,-12.99075,-6.05,,
2690,6.696,-13.021,-7.5,,
2695,6.715,-13.0585,-12.65,,
2700,6.733,-13.12175,-20.6,,
2705,6.752,-13.22475,-7.45,,
2710,6.771,-13.262,-13.45,,
2715,6.789,-13.32925,-13.75,,
2720,6.808,-13.398,-14.85,,
2725,6.827,-13.47225,-5.25,,
2730,6.845,-13.4985,-19.15,,
2735,6.864,-13.59425,-18.55,,
2740,6.883,-13.687,-10.35,,
2745,6.901,-13.73875,-13.35,,
2750,6.92,-13.8055,-7.8,,
2755,6.939,-13.8445,-12.4,,
2760,6.957,-13.9065,-10.45,,
2765,6.976,-13.95875,-16.35,,
2770,6.994,-14.0405,3.15,,
2775,7.013,-14.02475,-6.5,,
2780,7.032,-14.05725,-0.1,,
2785,7.05,-14.05775,-14.2,,
2790,7.069,-14.12875,-5.2,,
2795,7.087,-14.15475,4.65,,
2800,7.106,-14.1315,-1.95,,
2805,7.124,-14.14125,-1,,
2810,7.143,-14.14625,4.4,,
2815,7.161,-14.12425,-2.3,,
2820,7.18,-14.13575,3.25,,
2825,7.198,-14.1195,6.65,,
2830,7.217,-14.08625,-0.9,,
2835,7.235,-14.09075,1.1,,
2840,7.254,-14.08525,4,,
2845,7.272,-14.06525,-1.1,,
2850,7.291,-14.07075,8.65,,
2855,7.309,-14.0275,-7.5,,
2860,7.327,-14.065,3.75,,
2865,7.346,-14.04625,2.5,,
2870,7.364,-14.03375,-6.75,,
2875,7.382,-14.0675,-0.7,,
2880,7.401,-14.071,4.2,,
2885,7.419,-14.05,-10.55,,
2890,7.437,-14.10275,-6.45,,
2895,7.456,-14.135,6.05,,
2900,7.474,-14.10475,-15.5,,
2905,7.492,-14.18225,3.25,,
2910,7.51,-14.166,-21.5,,
2915,7.529,-14.2735,0.65,,
2920,7.547,-14.27025,-5.3,,
2925,7.565,-14.29675,-6.35,,
2930,7.583,-14.3285,-17,,
2935,7.601,-14.4135,-14.3,,
2940,7.62,-14.485,-14.95,,
2945,7.638,-14.55975,-3.2,,
2950,7.656,-14.57575,-13.7,,
2955,7.674,-14.64425,-13.15,,
2960,7.692,-14.71,-3.9,,
2965,7.71,-14.7295,-6.05,,
2970,7.728,-14.75975,-15.4,,
2975,7.746,-14.83675,-1.45,,
2980,7.764,-14.844,-14,,
2985,7.782,-14.914,-1.2,,
2990,7.8,-14.92,-5,,
2995,7.818,-14.945,-8.5,,
3000,7.836,-14.9875,1.6,,
3005,7.854,-14.9795,2.2,,
3010,7.872,-14.9685,-4.05,,
3015,7.89,-14.98875,2.25,,
